,towns.with.10.years.data,start.year,end.year,stability.time,absolute.range.min.value,absolute.range.max.value,relative.range.min.value,relative.range.max.value,proportion.significant,proportion.wrong,proportion.wrong.before.stability,num.phases
19,Aberdeen,2006,2016,6,-0.677630927,0.813157113,-0.701276451,0.789511589,0,0,0,1
12,Atlantic Highlands,2006,2016,8,-0.965506805,0.965506805,-0.930397466,1.000616143,0.266666667,0.266666667,0.342857143,2
1,Colts Neck,2006,2016,8,-1.254687098,0.941015323,-1.197655866,0.998046555,0,0,0,2
14,Eatontown,2006,2016,6,-1.059006764,1.059006764,-1.179105328,0.938908201,0.285714286,0.285714286,0.333333333,1
20,Fair Haven,2006,2016,6,-0.332105582,0.996316746,-0.511424299,0.81699803,0,0,0,2
17,Freehold,2006,2016,7,-1.044977181,1.044977181,-1.020549143,1.069405219,0.044444444,0.044444444,0.066666667,1
10,Holmdel,2006,2016,8,-0.709722502,1.445731023,-0.874607528,1.280845997,0,0,0,1
6,Howell,2006,2016,6,-1.206883506,1.206883506,-1.21566084,1.198106171,0.022222222,0.022222222,0.041666667,1
13,Lincroft,2006,2016,7,-1.046196618,0.784647463,-1.084240131,0.74660395,0.133333333,0.133333333,0.2,1
9,Little Silver,2006,2016,6,-0.204745529,1.023727646,-0.43554958,0.792923595,0.088888889,0.888888889,0.958333333,2
4,Manalapan,2006,2016,5,-0.713624032,1.070436048,-0.723355269,1.060704811,0,0,0,2
16,Manasquan,2006,2016,6,-0.51754917,1.552647509,-0.558717853,1.511478825,0,0,0,2
3,Marlboro,2006,2016,7,-1.237944966,1.650593289,-1.357988115,1.53055014,0.044444444,0.044444444,0.033333333,1
7,Middletown,2006,2016,8,-0.767015838,1.743217813,-0.782229375,1.728004276,0.2,0.2,0.2,2
15,Millstone,2006,2016,6,-1.491735474,0.745867737,-1.361587391,0.87601582,0.045454545,0.045454545,0.066666667,2
11,Neptune,2006,2016,7,-1.276569477,0.638284739,-1.381016071,0.533838145,0.311111111,0.311111111,0.266666667,2
18,Ocean,2006,2016,7,-1.378639891,1.378639891,-1.394306253,1.362973528,0,0,0,1
8,Red Bank,2006,2016,7,-1.278676029,1.385232364,-1.404606244,1.25930215,0.022222222,0.022222222,0.033333333,1
21,Rumson,2006,2016,8,-1.622293419,1.390537216,-1.651789663,1.361040972,0.044444444,0.044444444,0.057142857,2
2,Tinton Falls,2006,2016,7,-0.909306008,1.414476013,-1.076471355,1.247310666,0,0,0,1
5,Wall,2006,2016,7,-0.524988069,1.399968183,-0.614076953,1.310879299,0.022222222,0.022222222,0,2
