"","county.with.10.years.data","start.year","end.year"
"1","Centre",1900,2006
"2","Elk",1912,2007
"3","Dauphin",1913,2006
"4","Philadelphia",1913,1995
"5","Montgomery",1928,1993
"6","Crawford",1932,2010
"7","Allegheny",1934,1993
"8","Bucks",1935,2008
"9","Chester",1935,2000
"10","Clinton",1936,2008
"11","Delaware",1945,1993
"12","Mercer",1947,2011
"13","Warren",1947,2009
"14","Indiana",1948,2006
"15","Lycoming",1948,2009
"16","Union",1949,2012
"17","Clearfield",1949,2007
"18","Berks",1950,2008
"19","Forest",1953,2010
"20","York",1955,1998
"21","Lawrence",1962,2004
"22","Cambria",1962,2008
"23","Cumberland",1963,2007
"24","Snyder",1968,2012
"25","Northumberland",1980,2012
"26","Blair",1989,2003
"27","Somerset",1990,2002
"28","No record",1990,2010
