"","towns.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","proportion.wrong.before.stability"
"3","Avon",2019,1998,13,-1.55688258908743,2.07594724428905,-1.57582258005602,2.05700725332046,0.0952380952380952,0.0952380952380952,0.129032258064516
"6","Berlin",2019,1997,9,-1.21431673373933,1.21431673373947,-1.25210193226447,1.17653153521433,0.0454545454545455,0.0454545454545455,0.0363636363636364
"7","Bethany",2019,1996,13,-1.0688377590395,1.88080966953585,-1.10194044895089,1.84770697962446,0.0355731225296443,0.0355731225296443,0.0514285714285714
"8","Bethel",2019,1996,13,-1.14635865354082,1.30111963403649,-1.20917162200076,1.23830666557655,0.134387351778656,0.877470355731225,0.885714285714286
"11","Branford",2019,1998,12,-1.36659015320444,1.69353263246778,-1.36066329202947,1.69945949364274,0,0,0
"12","Bridgeport",2019,1996,10,-1.28030198941133,1.01357240828425,-1.31354230634017,0.980332091355409,0.0118577075098814,0.0118577075098814,0.0225563909774436
"14","Bristol",2019,1997,12,-1.16319308521449,1.16319308521451,-1.23144739141938,1.09493877900962,0.0995670995670996,0.9004329004329,0.96078431372549
"15","Brookfield",2019,1996,14,-1.48133029234302,1.35273539157934,-1.55171350438077,1.28235217954159,0.08300395256917,0.91699604743083,0.925133689839572
"18","Canton",2019,1999,11,-1.133880899517,1.21495338383234,-1.17963933536757,1.16919494798177,0.0754716981132075,0.0754716981132075,0.0595238095238095
"19","Cheshire",2019,1998,12,-1.01867256374311,1.29549240260163,-1.06848449022756,1.24568047611718,0.00952380952380952,0.00952380952380952,0.00694444444444444
"22","Colchester",2019,1996,12,-1.44111727301033,1.44111727301041,-1.45715766014621,1.42507688587453,0.00395256916996047,0.00395256916996047,0.00617283950617284
"25","Coventry",2019,2007,10,-9.61481343191603e-17,1.28576676706083,-0.129918483645385,1.15584828341544,0,0,0
"27","Danbury",2019,1996,10,-1.80644872655349,1.80644872655319,-1.82187894032823,1.79101851277846,0.0118577075098814,0.0118577075098814,0.0225563909774436
"28","Darien",2019,1996,12,-1.11381847227964,1.3906447007707,-1.1797906408496,1.32467253220073,0.0592885375494071,0.944664031620553,0.95679012345679
"30","Derby",2019,1997,7,-1.20638167896997,1.20638167896973,-1.21158152037782,1.20118183756188,0,0,0
"31","Durham",2019,1996,11,-1.54229974319896,1.54229974319916,-1.54942096580454,1.53517852059357,0.00395256916996047,0.00395256916996047,0.00675675675675676
"33","East Haddam",2019,1996,7,-0.983762052376453,1.3116827365018,-1.07311462125032,1.22233016762794,0.125,0.875,0.9
"34","East Hampton",2019,1996,15,-1.65247747817952,1.32210096568208,-1.64509955170797,1.32947889215363,0.130434782608696,0.130434782608696,0.126262626262626
"38","Easton",2019,1996,14,-2.05433521292297,1.23260112775432,-2.06807758412442,1.21885875655287,0.0711462450592885,0.0711462450592885,0.0962566844919786
"40","Enfield",2019,1998,8,-1.48958035143742,1.10308390291776,-1.46835839309008,1.1243058612651,0.00806451612903226,0.00806451612903226,0.0147058823529412
"41","Essex",2019,1996,11,-0.977027501957993,1.6283791699299,-0.976618945958346,1.62878772592954,0.0280373831775701,0.0280373831775701,0.03125
"42","Fairfield",2019,1996,10,-1.88076745365671,1.25371958460684,-1.90033299053103,1.23415404773251,0.00395256916996047,0.00395256916996047,0.0075187969924812
"44","Glastonbury",2019,1996,12,-1.5592705688401,1.87106855335721,-1.54706676831221,1.8832723538851,0.0158102766798419,0.0158102766798419,0.0246913580246914
"46","Greenwich",2019,1996,14,-0.937033657533376,1.48924611813973,-0.939691413045357,1.48658836262775,0.0909090909090909,0.0909090909090909,0.122994652406417
"49","Guilford",2019,1996,15,-1.60588941613366,1.26845629741837,-1.66305597071687,1.21128974283517,0.130434782608696,0.130434782608696,0.161616161616162
"50","Haddam",2019,1996,14,-1.89566422026602,1.26383933565165,-1.9581608079605,1.20134274795717,0.241106719367589,0.731225296442688,0.86096256684492
"51","Hamden",2019,1998,13,-1.25362614496101,1.10614071614197,-1.29887210955871,1.06089475154428,0.0523809523809524,0.0523809523809524,0.0645161290322581
"52","Hartford",2019,1998,10,-1.13233740799044,1.69842119092598,-1.15096365082183,1.67979494809458,0.019047619047619,0.019047619047619,0.0336134453781513
"56","Killingworth",2019,1996,8,-1.6862277249916,1.68622772499231,-1.67761889937873,1.69483655060517,0.00884955752212389,0.00884955752212389,0.0133333333333333
"60","Madison",2019,1996,14,-1.62108609023191,1.26063461006602,-1.61299796961981,1.26872273067812,0.0355731225296443,0.0355731225296443,0.0320855614973262
"61","Manchester",2019,1996,13,-1.40485026330005,1.87313368440098,-1.43878851379998,1.83919543390105,0.0197628458498024,0.0197628458498024,0.0285714285714286
"62","Mansfield",2019,1998,11,-1.79141299322134,1.8025197537794,-1.77950935228163,1.81442339471911,0.0142857142857143,0.0142857142857143,0.0227272727272727
"64","Meriden",2019,1996,13,-1.0982475020721,1.28501233442489,-1.10853157353846,1.27472826295853,0.075098814229249,0.075098814229249,0.108571428571429
"65","Middlebury",2019,1997,9,-1.08650739845254,0.721733903331954,-1.10493206247447,0.703309239310022,0.112068965517241,0.112068965517241,0.10126582278481
"66","Middlefield",2019,1997,10,-1.13004893631092,1.13004893631056,-1.22884129596095,1.03125657666053,0.157894736842105,0.810526315789474,0.917808219178082
"67","Middletown",2019,1996,10,-1.92374902280328,1.92374902280377,-1.90258828540001,1.94490976020704,0.0355731225296443,0.0355731225296443,0.0676691729323308
"68","Milford",2019,1996,13,-1.58550576149406,1.13020135698515,-1.61863184826068,1.09707527021852,0.0118577075098814,0.0118577075098814,0.00571428571428571
"69","Monroe",2019,1996,12,-1.56310930269786,1.56310930269762,-1.62165768150571,1.50456092388977,0.0373831775700935,0.981308411214953,0.99
"72","New Britain",2019,1996,14,-1.16261056381263,1.23857659497064,-1.18697651957487,1.21421063920841,0.0513833992094862,0.0513833992094862,0.0695187165775401
"73","New Canaan",2019,1996,12,-1.64680332128611,1.27054896573328,-1.6888020794759,1.2285502075435,0.0474308300395257,0.0474308300395257,0.0740740740740741
"75","New Hartford",2019,2010,6,-0.704483658590074,0.89229900197049,-0.854262861843504,0.74251979871706,0,0,0
"76","New Haven",2019,1996,11,-1.37021924966388,1.84607406353071,-1.36207776672825,1.85421554646634,0.0474308300395257,0.0474308300395257,0.0743243243243243
"78","New Milford",2019,1996,13,-1.47017091847558,1.47017091847557,-1.51092951736906,1.42941231958209,0.0316205533596838,0.0316205533596838,0.0457142857142857
"80","Newtown",2019,1996,11,-1.55994639485378,1.68303685326118,-1.62513216468997,1.617851083425,0.0513833992094862,0.948616600790514,0.945945945945946
"82","North Haven",2019,1996,13,-0.91037641141,1.41614108441514,-0.991806802703527,1.33471069312162,0.08300395256917,0.91699604743083,0.96
"84","Norwalk",2019,1996,14,-1.45753229389396,1.09245779143867,-1.51027149042211,1.03971859491052,0.0711462450592885,0.0711462450592885,0.0962566844919786
"85","Norwich",2019,1996,12,-1.46868005381761,1.10145496761481,-1.48011430572577,1.09002071570666,0.0355731225296443,0.0355731225296443,0.0555555555555556
"86","Old Lyme",2019,1996,11,-1.51522222639762,1.51522222639706,-1.53147007023729,1.49897438255739,0.0474308300395257,0.0474308300395257,0.0743243243243243
"87","Old Saybrook",2019,1997,15,-0.895159374252536,1.37131381295585,-0.904792786035897,1.36168040117249,0.108225108225108,0.108225108225108,0.134408602150538
"88","Orange",2019,1996,13,-2.45927946609017,2.46705507824284,-2.44094333825981,2.48539120607319,0.0909090909090909,0.0909090909090909,0.108571428571429
"95","Redding",2019,1996,11,-0.863055618632168,0.896401764262675,-0.898680651391456,0.860776731503386,0.0553359683794466,0.0553359683794466,0.0945945945945946
"96","Ridgefield",2019,1996,13,-1.30638871849153,1.11600471706567,-1.38519775588467,1.03719567967253,0.142292490118577,0.861660079051383,0.88
"98","Roxbury",2019,1998,7,-1.71387821444246,1.37110257155384,-1.73013714238659,1.35484364360971,0,0,0
"104","Shelton",2019,1998,12,-1.74685058726503,1.7468505872649,-1.74652703011328,1.74717414441665,0.0196078431372549,0.0196078431372549,0.021978021978022
"105","Sherman",2019,1998,8,-1.17329006962724,1.40800440372938,-1.2301833501054,1.35111112325122,0,0,0
"106","Simsbury",2019,2000,12,-1.31978240677672,1.25026753199806,-1.38385513960377,1.18619479917101,0.0526315789473684,0.0526315789473684,0.0714285714285714
"108","South Windsor",2019,1996,10,-1.36596108346454,1.09335898556479,-1.36666423708892,1.09265583194041,0.00790513833992095,0.00790513833992095,0.0150375939849624
"109","Southbury",2019,1998,14,-1.17702081600597,1.25653006292565,-1.23801456965411,1.1955363092775,0.123809523809524,0.123809523809524,0.157575757575758
"110","Southington",2019,1996,12,-0.590566218016694,0.972483341089979,-0.685512266859815,0.877537292246858,0.162055335968379,0.841897233201581,0.925925925925926
"112","Stamford",2019,1996,15,-1.41703187723276,1.33546457955909,-1.44030846290906,1.31218799388279,0.0671936758893281,0.0671936758893281,0.0858585858585859
"114","Stratford",2019,1996,13,-1.56977793598512,1.22026718058439,-1.61838816130177,1.17165695526773,0.00395256916996047,0.00395256916996047,0.00571428571428571
"117","Torrington",2019,1998,13,-1.61692221396091,1.65523420065444,-1.64077587257763,1.63138054203772,0.019047619047619,0.019047619047619,0.0258064516129032
"118","Trumbull",2019,1996,12,-1.4368495133178,1.5230749757911,-1.51566255460975,1.44426193449915,0.154150197628458,0.865612648221344,0.925925925925926
"119","Vernon",2019,1997,20,-1.11773510154524,1.67651882637712,-1.12617635810886,1.66807756981351,0.0444444444444444,0.0444444444444444,0.0454545454545455
"120","Wallingford",2019,1996,11,-1.60486961267982,1.14619787737611,-1.64823873189708,1.10282875815884,0.0118577075098814,0.0118577075098814,0.00675675675675676
"122","Waterbury",2019,1996,12,-1.2167510346964,1.17249724753262,-1.29691774391315,1.09233053831587,0.130434782608696,0.869565217391304,0.907407407407407
"126","West Haven",2019,1996,11,-0.955830986687704,0.955830986688913,-0.937343631722809,0.974318341653808,0.028436018957346,0.028436018957346,0.0454545454545455
"129","Westport",2019,1998,10,-1.82510180886239,1.44417459646225,-1.81491765523654,1.4543587500881,0.0476190476190476,0.0476190476190476,0.0840336134453782
"130","Wethersfield",2019,1996,12,-1.59295732166032,0.998253254907105,-1.62162408927558,0.969586487291846,0.0276679841897233,0.0276679841897233,0.0123456790123457
"132","Wilton",2019,1996,14,-1.16623221534349,1.15611619860584,-1.21472439941376,1.10762401453557,0.0513833992094862,0.0513833992094862,0.0695187165775401
"133","Winchester",2019,2005,4,-1.92296268638295e-16,0.991031208964486,-0.0452997425108344,0.945731466453652,0,0,0
"135","Windsor",2019,1996,13,-1.86536623739635,1.3856494671169,-1.91092555875305,1.34009014576019,0.0355731225296443,0.0355731225296443,0.0514285714285714
"136","Woodbridge",2019,1996,14,-1.49356002694359,1.32767529328401,-1.4874211056085,1.33381421461911,0.0909090909090909,0.0909090909090909,0.0855614973262032
