"","towns.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","num.phases"
"1","Colts Neck",2006,2016,8,-1.25468709795511,0.941015323466739,-1.19765586622988,0.998046555191961,0,0,2
"2","Tinton Falls",2006,2016,7,-0.909306008163165,1.41447601269792,-1.07647135511834,1.24731066574274,0,0,1
"3","Marlboro",2006,2016,7,-1.23794496644185,1.6505932885897,-1.35798811470284,1.53055014032871,0.0444444444444444,0.0444444444444444,1
"4","Manalapan",2006,2016,5,-0.713624032148211,1.07043604822282,-0.723355268950221,1.06070481142081,0,0,2
"5","Wall",2006,2016,7,-0.524988068588807,1.39996818290307,-0.614076952955334,1.31087929853654,0.0222222222222222,0.0222222222222222,2
"6","Howell",2006,2016,6,-1.20688350581592,1.20688350581617,-1.21566084040364,1.19810617122845,0.0222222222222222,0.0222222222222222,1
"7","Middletown",2006,2016,8,-0.767015837917173,1.74321781344761,-0.782229375198171,1.72800427616661,0.2,0.2,2
"8","Red Bank",2006,2016,7,-1.27867602873375,1.38523236446174,-1.40460624368477,1.25930214951072,0.0222222222222222,0.0222222222222222,1
"9","Little Silver",2006,2016,6,-0.204745529151079,1.02372764575555,-0.435549580193987,0.792923594712645,0.0888888888888889,0.888888888888889,2
"10","Holmdel",2006,2016,8,-0.709722502215305,1.44573102303207,-0.87460752798249,1.28084599726488,0,0,1
"11","Neptune",2006,2016,7,-1.27656947700872,0.63828473850449,-1.38101607058213,0.533838144931074,0.311111111111111,0.311111111111111,2
"12","Atlantic Highlands",2006,2016,8,-0.965506804652919,0.965506804653109,-0.930397466301899,1.00061614300413,0.266666666666667,0.266666666666667,2
"13","Lincroft",2006,2016,7,-1.04619661784218,0.784647463381786,-1.08424013121828,0.746603950005689,0.133333333333333,0.133333333333333,1
"14","Eatontown",2006,2016,6,-1.05900676442748,1.05900676442764,-1.17910532770275,0.938908201152365,0.285714285714286,0.285714285714286,1
"15","Millstone",2006,2016,6,-1.49173547429711,0.745867737148308,-1.36158739095856,0.876015820486853,0.0454545454545455,0.0454545454545455,2
"16","Manasquan",2006,2016,6,-0.517549169506981,1.55264750852094,-0.55871785344502,1.5114788245829,0,0,2
"17","Freehold",2006,2016,7,-1.04497718135986,1.04497718136058,-1.02054914335405,1.06940521936639,0.0444444444444444,0.0444444444444444,1
"18","Ocean",2006,2016,7,-1.37863989067665,1.37863989067701,-1.39430625307071,1.36297352828295,0,0,1
"19","Aberdeen",2006,2016,6,-0.677630927179361,0.813157112614726,-0.701276450809109,0.789511588984978,0,0,1
"20","Fair Haven",2006,2016,6,-0.332105582077874,0.99631674623281,-0.51142429857153,0.816998029739153,0,0,2
"21","Rumson",2006,2016,8,-1.62229341905275,1.39053721633092,-1.65178966303553,1.36104097234814,0.0444444444444444,0.0444444444444444,2
