"","counties.with.10.years.data","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong"
"1","Albany",6,-1.31227028202758,0.401068405290607,-1.09513232526741,0.618206362050784,0.177777777777778,0.822222222222222
"2","Allegany",6,-0.855581993701058,0.954649382445923,-1.04902266902329,0.761208707123694,0.194444444444444,0.194444444444444
"3","Cattaraugus",7,-0.545866015769891,1.55918635443731,-0.743211248392242,1.36184112181496,0.155555555555556,0.866666666666667
"4","Chautauqua",6,-0.0834911838616159,1.46489077139114,-0.281753995125294,1.26662796012747,0.0588235294117647,0.941176470588235
"5","Chemung",8,-1.21701757110938,1.0694051173226,-1.17416142156725,1.11226126686474,0.0222222222222222,0.0222222222222222
"6","Columbia",8,-0.993610186434673,0.761585829712418,-0.790024323060363,0.965171693086728,0.177777777777778,0.822222222222222
"7","Dutchess",8,-1.57955652112964,1.68744216793189,-1.63528486455939,1.63171382450214,0.0444444444444444,0.0444444444444444
"8","Erie",5,-0.604734491149083,0.885054125067352,-0.792580619683249,0.697207996533186,0.0588235294117647,0.941176470588235
"9","Monroe",6,-0.940605688865919,1.23626390978155,-1.06814501951195,1.10872457913552,0,0
"10","Ulster",7,-1.42192920186322,1.57472422574794,-1.29623474251194,1.70041868509922,0,0
"11","Onondaga",5,-1.12572571563752,1.28299622002876,-1.24734823903286,1.16137369663342,0.0277777777777778,0.0277777777777778
"12","Orange",7,-0.914762983839601,1.03870987668764,-1.01665018641152,0.936822674115721,0.111111111111111,0.111111111111111
"13","Oswego",8,-1.01992443054854,1.04911725861447,-0.936260439205469,1.13278124995753,0.222222222222222,0.222222222222222
"14","Rockland",7,-1.54292685176419,1.64787533690839,-1.53387148805402,1.65693070061857,0,0
"15","Saratoga",7,-1.23141866329276,0.420561815035273,-1.0312340796205,0.620746398707538,0.2,0.8
"16","Schuyler",7,-1.67264885833932,0.118317628903719,-1.53445076690829,0.256515720334746,0.0222222222222222,0.0222222222222222
"17","Seneca",8,-1.04157726636257,0.493547381599406,-0.955619327540495,0.579505320421481,0.0909090909090909,0.0909090909090909
"18","Sullivan",7,-1.68264216880672,1.07652912950565,-1.67439461397847,1.08477668433389,0.0666666666666667,0.0666666666666667
"19","Westchester",6,-1.68111632877543,1.51654749713492,-1.60232276695954,1.5953410589508,0.0222222222222222,0.0222222222222222
