"","counties.with.10.years.data","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value"
"1","Albany",6,-1.30662211179847,0.835734913323815,-1.18594297064875,0.956414054473538
"2","Cattaraugus",7,-1.39699029322092,1.38151117639904,-1.4113905625072,1.36711090711275
"3","Chemung",7,-1.32795382764617,1.22930582902138,-1.33786461725163,1.21939503941592
"4","Columbia",7,-1.25478589767822,0.347694863267459,-1.05257992239473,0.549900838550955
"5","Dutchess",7,-1.53017568857995,1.42761256134596,-1.55189140056334,1.40589684936257
"6","Onondaga",6,-1.61008724026948,1.45822003720432,-1.58483412371381,1.48347315375999
"7","Orange",6,-1.12052732770883,1.06521292883374,-1.08074676542149,1.10499349112107
"8","Oswego",7,-1.22872277846749,0.970204372107235,-1.17386710806968,1.02506004250505
"9","Rockland",7,-1.08555328919586,0.671069306048782,-1.04439473982038,0.712227855424262
"10","Saratoga",6,-1.4080658641422,0.638248542792364,-1.26962598883168,0.776688418102887
"11","Schuyler",6,-0.895566458658093,1.08566311261895,-1.03893901922084,0.942290552056197
"12","Sullivan",5,-0.395960889724092,1.24444851056223,-0.459371375243721,1.1810380250426
"13","Ulster",7,-1.58764478737495,0.251643986471629,-1.41465514444353,0.424633629403046
"14","Westchester",6,-0.566379858461456,1.19481676931633,-0.691749406817281,1.0694472209605
